scenario,num_nodes,topology_mode,method,seed,logical_topology_mode,dynamic_topology_mode,complete,ppo_frame,ppo_update,avg_r,entropy,L_critic,heur_dev,final_frame,total_packets,total_tx,total_requests,tx_success_rate,packets_per_frame,goodput_per_slot,packet_delivery_ratio,drop_or_backlog_rate,mac_efficiency,concurrent_success_degree,spatial_reuse_gain,jain_tx_mean,jain_tx_tail100,queue_tail100,queue_stability_slope,request_rate_mean,slot_util_mean,ctrl_collision_mean,control_pressure,req_pressure_mean,Wt_p95,fair_goodput,starvation_ratio,energy_proxy,dynamic_event_count,perturb_frame,recovery_frame,active_nodes_min,active_edges_min,pdr_pre100,pdr_post100,pdr_drop_post100,queue_peak_post100,jain_post100,jain_recovery100,metrics_dir
N12_grid_manet_uav_sparse,12,grid,greedy_stdma_2hop,3,,static,True,,,,,,,58823.0,155914.0,155914.0,6981702.0,0.022331803906841054,2.6505618550566954,0.26505618550566956,0.1299795669459712,0.48177323228239133,0.022331803906841054,12.000000000000002,,0.37520667768900223,0.305352667,577413.47,11.474425442544254,1.0,0.022088015458805794,2.563393570542135,0.2563393570542135,0.9890833517501657,15621.6,0.08093561314900295,0.5,1.2675107242631851,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/greedy_stdma_2hop/seed3/metrics
N12_grid_manet_uav_sparse,12,grid,heuristic_only,1,,static,True,,,,,,,58823.0,159823.0,159823.0,7057459.0,0.022645969321252877,2.717015453139078,0.27170154531390783,0.1331929369566377,0.47989476105392287,0.022645969321252877,12.000000000000002,,0.37207564234058915,0.153452847,575388.33,7.551641164116412,0.9999188158965558,0.02264179544282565,2.730573075157676,0.2730573075157676,0.9998156900078767,15585.9,0.04169337566271867,0.6666666666666666,1.29551479296647,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/heuristic_only/seed1/metrics
N12_grid_manet_uav_sparse,12,grid,heuristic_only,2,,static,True,,,,,,,58823.0,156979.0,156979.0,7056769.0,0.022245166307696906,2.668667018003162,0.2668667018003162,0.13079229072100354,0.4836021182853753,0.022245166307696906,11.999999999999998,,0.37642913860737265,0.263591135,579926.31,10.05035103510351,0.9998883466332613,0.02223889181669302,2.665395905229814,0.2665395905229814,0.9997179391281188,15612.8,0.07034369682125188,0.3333333333333333,1.2884964214677932,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/heuristic_only/seed2/metrics
N12_grid_manet_uav_sparse,12,grid,heuristic_only,3,,static,True,,,,,,,58823.0,163693.0,163693.0,7057491.0,0.023194220155576536,2.7828060452544072,0.27828060452544073,0.13647793498470082,0.48049207527034127,0.023194220155576536,12.0,,0.3691978738248637,0.424003258,575618.59,13.205682568256826,0.9999188162646301,0.02319005037712006,2.700509721254158,0.2700509721254158,0.9998202233820105,15418.374999999998,0.11799188295699642,0.6666666666666666,1.2930612458845463,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/heuristic_only/seed3/metrics
N12_grid_manet_uav_sparse,12,grid,plain_tdma,1,,static,True,,,,,,,58823.0,29687.0,29687.0,705869.0,0.04205737891875121,0.5046835421518794,0.05046835421518794,0.02472303488640329,0.5958295545489901,0.04205737891875121,12.0,,0.6635995730666354,0.58333334,714889.99,11.413435343534353,1.0,0.004205696184598995,0.015331304648408503,0.0015331304648408502,0.09999900832440825,18572.1,0.02943987362864866,0.8333333333333334,0.1057378349738481,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/plain_tdma/seed1/metrics
N12_grid_manet_uav_sparse,12,grid,plain_tdma,2,,static,True,,,,,,,58823.0,29146.0,29146.0,705869.0,0.04129094775376167,0.4954864593781344,0.04954864593781344,0.02428997290650452,0.5914699242198849,0.04129094775376167,12.000000000000002,,0.6734582466296072,0.5599999840000001,709048.76,14.251233123312332,1.0,0.0041290538281511194,0.01445863012767115,0.001445863012767115,0.09999900832440825,18550.7,0.027747240932397194,0.75,0.10557392516532649,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/plain_tdma/seed2/metrics
N12_grid_manet_uav_sparse,12,grid,plain_tdma,3,,static,True,,,,,,,58823.0,28178.0,28178.0,705871.0,0.03991947537156223,0.47903031127280143,0.04790303112728014,0.023469286617975683,0.5926798613731257,0.03991947537156223,12.0,,0.6802299734185157,0.8166666600000001,710794.74,17.017557755775577,1.0,0.003991919260606679,0.014685298834356176,0.0014685298834356175,0.0999992916602916,18482.0,0.03912080843459191,0.9166666666666666,0.1054597408043339,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/plain_tdma/seed3/metrics
N12_grid_manet_uav_sparse,12,grid,ppo_baseline,1,,static,True,51200.0,400.0,-653.083,0.6914,0.9398,nan,57139.0,139527.0,139527.0,3456845.0,0.04036252710202511,2.4418873273945993,0.2441887327394599,0.11959074452474663,0.4929167980910325,0.04036252710202511,11.999999999999998,,0.34013700355793314,0.6003813060000001,574961.01,4.891887188718872,0.50421197047347,0.02034906106162166,0.9267210953406022,0.09267210953406022,0.5041572597817019,15300.0,0.1466063502726019,0.4166666666666667,0.6171784303773837,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/ppo_baseline/seed1/metrics
N12_grid_manet_uav_sparse,12,grid,ppo_baseline,2,,static,True,51200.0,400.0,-640.167,0.6917,0.9449,nan,55931.0,137768.0,137768.0,3369764.0,0.04088357522960065,2.463177844129374,0.24631778441293736,0.12075749540918514,0.5021260184158511,0.04088357522960065,12.0,,0.3331079546458273,0.15511565300000002,572235.08,14.62013801380138,0.502162729405341,0.020526482034411448,0.9526052934270202,0.09526052934270202,0.5020716001263461,14791.4,0.038207743974726004,0.3333333333333333,0.6178586115034596,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/ppo_baseline/seed2/metrics
N12_grid_manet_uav_sparse,12,grid,ppo_baseline,3,,static,True,51200.0,400.0,-637.75,0.691,0.9706,nan,54040.0,127804.0,127804.0,3214037.0,0.03976432131926297,2.3649888971132493,0.23649888971132493,0.11599332741586209,0.5016563473954958,0.03976432131926297,12.0,,0.3498081625480428,0.459360456,552178.42,11.128748874887489,0.4956794338894009,0.019708240809277078,0.8944454724895139,0.08944454724895139,0.49562623365408337,14562.9,0.10863823782128793,0.4166666666666667,0.6047790217123118,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/ppo_baseline/seed3/metrics
N12_grid_manet_uav_sparse,12,grid,traffic_adaptive_tdma,1,,static,True,,,,,,,58823.0,51831.0,51831.0,7043756.0,0.0073584320638023235,0.881134930214372,0.08811349302143719,0.043212737965613895,0.5756679378175446,0.0073584320638023235,11.999999999999998,,0.7997606042295293,0.629805749,689992.91,9.671725172517252,0.9999961668325104,0.007342791085119767,2.6283369883662284,0.26283369883662283,0.9978744142030611,17687.5,0.05549438446937252,0.5,1.2680509041248038,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/traffic_adaptive_tdma/seed1/metrics
N12_grid_manet_uav_sparse,12,grid,traffic_adaptive_tdma,2,,static,True,,,,,,,58823.0,51258.0,51258.0,7042882.0,0.007277986483374277,0.8713938425445829,0.08713938425445829,0.042759612529072,0.5749231698405336,0.007277986483374277,11.999999999999998,,0.8114459587813005,0.929705122,688450.75,13.041530153015302,0.9999973022480367,0.007261615354538191,2.621722512169276,0.2621722512169276,0.9977505964220345,17756.5,0.08101393186929602,0.75,1.2671844629935003,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/traffic_adaptive_tdma/seed2/metrics
N12_grid_manet_uav_sparse,12,grid,traffic_adaptive_tdma,3,,static,True,,,,,,,58823.0,47197.0,47197.0,7041176.0,0.00670299961256472,0.8023562212059908,0.08023562212059908,0.03931196359080975,0.581895690068767,0.00670299961256472,11.999999999999998,,0.8232843695662232,0.8899999959999999,697911.94,13.978553855385538,0.9999980116997269,0.006686301843383258,2.7118091562824067,0.27118091562824065,0.9975089109135316,17784.0,0.07140970336639069,0.75,1.2753761283851555,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_20260523_20260523_095144/N12_grid_manet_uav_sparse/traffic_adaptive_tdma/seed3/metrics
N12_grid_manet_pedestrian,12,grid,B_debt_adaptive,1,,static,True,51200.0,400.0,-754.417,0.6819,0.9299,0.0056,51266.0,138416.0,138416.0,3532225.0,0.03918663165568445,2.6999570865680957,0.2699957086568096,0.1328540645861028,0.8106338153215628,0.03918663165568445,12.000966627528951,,0.28999659159946783,0.290781335,843803.26,16.194167416741674,0.574233286804046,0.022497830136238187,5.6972137974078665,0.5697213797407866,0.5741605796705708,15064.3,0.07850971260749814,0.5833333333333334,1.1663797895475956,,,,12.0,14.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_nomask_20260524_20260524_134837/N12_grid_manet_pedestrian/B_debt_adaptive/seed1/metrics
N12_grid_manet_pedestrian,12,grid,B_debt_adaptive,2,,static,True,51200.0,400.0,-739.667,0.6819,0.9652,0.0056,51266.0,135922.0,135922.0,3535872.0,0.038440871162757025,2.651308859673078,0.26513088596730777,0.13010438253494971,0.8171128010988643,0.038440871162757025,12.00090136795722,,0.2857245512713408,0.28525933800000003,852779.16,17.58034203420342,0.5748316873623335,0.02209258103522253,5.954869914576588,0.5954869914576588,0.5747581620314389,14912.4,0.07563106101438771,0.3333333333333333,1.1923377345243202,,,,12.0,16.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_nomask_20260524_20260524_134837/N12_grid_manet_pedestrian/B_debt_adaptive/seed2/metrics
N12_grid_manet_pedestrian,12,grid,B_debt_adaptive,3,,static,True,51200.0,400.0,-738.333,0.6819,0.9781,0.0056,51266.0,138673.0,138673.0,3532428.0,0.039257134186457585,2.7049701556587213,0.27049701556587213,0.13273916127358684,0.8157763498333976,0.039257134186457585,12.001825050660216,,0.2902410261990868,0.259111093,851408.68,16.75228322832283,0.5742608230357423,0.022537990215995708,5.980480748915146,0.5980480748915146,0.5741999707455021,15362.365000000014,0.07008877735651114,0.5833333333333334,1.1947860358530125,,,,12.0,12.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_nomask_20260524_20260524_134837/N12_grid_manet_pedestrian/B_debt_adaptive/seed3/metrics
N12_grid_manet_uav_sparse,12,grid,B_debt_adaptive,1,,static,True,51200.0,400.0,-708.25,0.6882,0.9271,0.0025,51266.0,141413.0,141413.0,3389016.0,0.04172686113019236,2.7584168844848436,0.2758416884484844,0.13531722944783398,0.4910922751873598,0.04172686113019236,12.001402391861628,,0.3087831442107953,0.276571363,512773.82,9.81890189018902,0.550944284392569,0.022984121308651205,1.155650181215362,0.11556501812153619,0.5508790976612654,13442.6,0.07628991174641869,0.25,0.6894282370914528,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_nomask_20260524_20260524_134837/N12_grid_manet_uav_sparse/B_debt_adaptive/seed1/metrics
N12_grid_manet_uav_sparse,12,grid,B_debt_adaptive,2,,static,True,51200.0,400.0,-679.333,0.6905,0.9457,0.0013,51266.0,129311.0,129311.0,3370464.0,0.038365934185916245,2.522353996800999,0.2522353996800999,0.12382469905880167,0.4890190336749634,0.038365934185916245,11.999015542806589,,0.3285474225154906,0.405014693,510257.83,10.162742274227423,0.547980066447343,0.021021341190887534,1.0808676898173053,0.10808676898173053,0.5478685625779105,13529.6,0.10215904296516795,0.25,0.6769766727505285,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_nomask_20260524_20260524_134837/N12_grid_manet_uav_sparse/B_debt_adaptive/seed2/metrics
N12_grid_manet_uav_sparse,12,grid,B_debt_adaptive,3,,static,True,51200.0,400.0,-673.5,0.6902,0.9648,0.0015,51266.0,128877.0,128877.0,3359796.0,0.038358578913719764,2.5138883470526276,0.25138883470526274,0.12360689636651717,0.4884427547101769,0.038358578913719764,11.994466070535227,,0.334229062464724,0.309672273,508800.04,8.811929192919292,0.5461945020028595,0.02095873490549172,1.0576882445676024,0.10576882445676024,0.546132717905378,13612.6,0.07784815184999999,0.3333333333333333,0.67286027726763,,,,12.0,0.0,,,,,,,/home/opp_env/DynamicTDMA/DynamicTDMA/logs/benchmark_b_prime_main_formal_nomask_20260524_20260524_134837/N12_grid_manet_uav_sparse/B_debt_adaptive/seed3/metrics
